"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28Design%2C+Automation+and+Test+in+Europe+Conference+and+Exhibition%29+AND+2002%29",2015/06/23 14:53:21
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Error simulation based on the SystemC design description language","Bruschi, F.; Ferrandi, F.; Chiamenti, M.; Sciuto, D.","Politecnico di Milano, Italy","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1135","","Summary form only given. The combined effects of devices increased complexity and reduced design cycle time creates a testing problem: an increasing larger portion of the design time is devoted to testing and verification. Today EDA tools, moving towards higher levels of abstraction, promise greater designer productivity, resulting in increased design complexity and size. In order to reduce the testing and verification time, different high-level approaches have been proposed in literature. Most of these approaches are based on the definition of an error or fault model, applicable at a higher level of abstraction of the description of the system to be implemented. In this paper we concentrate our attention on the evaluation of error models, used in test generation and in functional verification. Evaluation of error models is also an important aspect when fault injection methodologies are used to evaluate the dependability of complex system","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998493","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998493","","Analytical models;Electronic design automation and methodology;Error correction;Hardware design languages;Instruments;Performance analysis;Performance evaluation;Productivity;Standards development;Testing","fault simulation;formal verification;hardware description languages","EDA;SystemC design description language;error simulation;fault model;functional verification;test generation","","2","1","","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"An evolutionary approach to the design of on-chip pseudorandom test pattern generators","Favalli, M.; Dalpasso, M.","Ferrara Univ., Italy","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1122","","Summary form only given. Weighted pseudorandom test generation (WPRTG) uses test sequences characterized by non-uniform distributions of test vectors in order to increase the detection probability of random resistant faults. Such non-uniform distributions are characterized by the values of signal probability of the CUT inputs (weights). Since different faults may require different distributions, a (small) number of distributions is typically used. The weights of such distributions are identified by analyzing the CUT The corresponding pseudorandom sequences are typically obtained by inserting a combinational network between the TPG and the CUT. Differently from the genetic-based approaches, where only numerical coefficients are computed, we have used an evolutionary programming (EP) algorithm that directly evolves the WGU network. In fact, evolutionary approaches have been shown to be effective in the design of digital circuits. In particular, we evolve a population were each individual represents a possible WGU and the fitness function considers the fault coverage as a primary target and the test length and the cost of the WGU as secondary ones. The fault coverage is evaluated here by means of fault simulation","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998478","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998478","","Character generation;Circuit faults;Circuit simulation;Circuit testing;Computer networks;Cost function;Digital circuits;Fault detection;Genetic programming;Random sequences","automatic test pattern generation;built-in self test;combinational circuits;evolutionary computation;fault simulation;integrated circuit testing;logic design;logic testing","ATPG;BIST;CUT inputs;WGU network;combinational network;detection probability;digital circuits;evolutionary programming algorithm;fault coverage;fault simulation;fitness function;on-chip pseudorandom TPG;pseudorandom test pattern generators;random resistant faults;signal probability;test sequence optimisation;test vectors nonuniform distributions;weighted pseudorandom test generation","","2","","3","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Top-down system level design methodology using SpecC, VCC and SystemC","Lukai Cai; Kritzinger, P.; Olivares, M.; Gajski, D.","California Univ., Irvine, CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1137","","In this paper we suggest a top-down methodology from C to silicon. In our methodology, we focus on methods to make the design flow smooth, efficient, and easy. The proposed methodology is a pure top-down methodology. We developed our design methodology by using SpecC, VCC, and SystemC. We choose SpecC, VCC and SystemC because they are all C-related and each have strong support in at least one field of design. Our proposal for a methodology is based on our experiences of attempting to model the JPEG encoder with SpecC, SystemC and VCC, and one internal project, attempting to implement architecture exploration for MPEG encoding and decoding using VCC","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998495","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998495","","Computer architecture;Convergence;Decoding;Design methodology;Encoding;Modeling;Pain;Proposals;Silicon;System-level design","C language;specification languages","C language;JPEG encoder;MPEG decoding architecture;MPEG encoding architecture;SpecC;SystemC;VCC;top-down system level design methodology","","4","","3","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Embedded system design based on webservices","Rettberg, A.; Thronicke, W.","C-LAB, Paderborn Univ., Germany","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","232","236","The structure of Internet applications and scenarios is changing rapidly today. This offers new potential for established technologies and methods to expand their area of application. New technologies encourage new methodologies to design processes and business-to-business applications. The application of such new advancements should be extended into the domain of the electronic design automation (EDA) industry. In this paper we present an approach to use webservices in the field of embedded system design","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998275","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998275","","3G mobile communication;Design methodology;Electronic design automation and methodology;Electronics industry;Embedded system;Genetic programming;Information technology;Java;Process design;Web and internet services","Internet;electronic design automation;embedded systems","EDA industry;Internet applications;PARADISE design environment;electronic design automation;embedded system design;webservices","","3","2","21","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Internet-based collaborative test generation with MOSCITO","Schneider, A.; Ivask, E.; Miklos, P.; Raik, J.; Diener, K.H.; Ubar, R.; Cibakova, T.; Gramatova, E.","Fraunhofer Inst. for Integrated Circuits, Germany","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","221","226","This paper offers an Internet-based environment for enhancing problem-specific design flows with test pattern generation and fault simulation capabilities. Automatic Test Pattern Generation (ATPG) and fault simulation tools at structural and hierarchical levels available at geographically different places running under the virtual environment using the MOSCITO system are presented. These tools can be used separately, or in multiple applications, for test pattern generation of digital circuits. In order to link different tools together and with commercial design systems, respectively a set of translators was developed. The functionality of the integrated design and test system was verified by several benchmark circuits","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998273","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998273","","Automatic test pattern generation;Circuit faults;Circuit simulation;Circuit testing;Collaboration;Digital circuits;Internet;System testing;Test pattern generators;Virtual environment","Internet;automatic test pattern generation;fault simulation;groupware","Internet;MOSCITO system;automatic test pattern generation;collaborative test generation;digital circuit;fault simulation;translator;virtual environment","","3","2","16","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"A UML-based design methodology for real-time and embedded systems","de Jong, G.","Telelogic, Leuven","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","776","779","The fast growing complexity of today's real time embedded systems necessitates new design methods and tools to face the problems of design, analysis, integration and validation of complex systems. the author presents a system level design method for embedded real-time systems combining the informal strengths of UML with the formal strengths of SDL. The flow is demonstrated by the design example of a telecommunications application from the wireless or access domain, showing the applicability of the flow to control and data-dominated types of systems. Finally, the author shows how the application results and other enduser needs and requirements influenced the current UML 2.0 proposal with support for real-time and embedded systems","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998387","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998387","","Communication system control;Control systems;Design methodology;Embedded system;Hardware;Real time systems;Software design;System-level design;Telecommunication control;Unified modeling language","circuit CAD;embedded systems;hardware-software codesign;integrated circuit design;specification languages","SDL template specifications;UML 2.0 proposal;UML-based design methodology;embedded systems;real time systems;system level design method","","10","","9","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"FACTOR: a hierarchical methodology for functional test generation and testability analysis","Vedula, V.M.; Abraham, J.A.","Comput. Eng. Res. Center, Texas Univ., Austin, TX, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","730","734","This paper develops an improved approach for hierarchical functional test generation for complex chips. In order to deal with the increasing, complexity of functional test generation, hierarchical approaches have been suggested wherein functional constraints are extracted for each module under test (MUT) within a design. These constraints describe a simplified ATPG view for the MUT and thereby speed up the test generation process. This paper develops an improved approach which applies this technique at deeper levels of hierarchy, so that effective tests can he developed for large designs with complex submodules. A tool called FACTOR (FunctionAl ConsTraint extractOR), which implements this methodology is described in this work. Results on the ARM design prove the effectiveness of FACTOR-ising large designs for test generation and testability analysis","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998380","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998380","","Automatic test pattern generation;Automatic testing;Circuit faults;Circuit testing;Design for testability;Hip;Jacobian matrices;Logic testing;Manufacturing;Test pattern generators","VLSI;automatic test pattern generation;circuit analysis computing;design for testability;integrated circuit testing;logic CAD;logic testing","ARM design;ATPG;FACTOR;VLSI designs;Verilog RTL description;complex chips;complex submodules;functional constraint extractor;functional constraints;hierarchical functional test generation;large designs;module under test;testability analysis","","12","","12","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Improving compression ratio, area overhead, and test application time for system-on-a-chip test data compression/decompression","Gonciari, P.T.; Al-Hashimi, B.M.; Nicolici, N.","Dept. of Electron. & Comput. Sci., Southampton Univ., UK","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","604","611","Proposes a new test data compression/decompression method for systems-on-a-chip. The method is based on analyzing the factors that influence test parameters: compression ratio, area overhead and test application time. To improve compression ratio, the new method is based on a variable-length input Huffman coding (VIHC), which fully exploits the type and length of the patterns, as well as a novel mapping and reordering algorithm proposed in a pre-processing step. The new VIHC algorithm is combined with a novel parallel on-chip decoder that simultaneously leads to low test application time and low area overhead. It is shown that, unlike three previous approaches which reduce some test parameters at the expense of the others, the proposed method is capable of improving all the three parameters simultaneously. An experimental comparison on benchmark circuits validates the proposed method","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998363","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998363","","Built-in self-test;Channel capacity;Circuit testing;Compression algorithms;Costs;Frequency;Huffman coding;System testing;System-on-a-chip;Test data compression","Huffman codes;application specific integrated circuits;automatic testing;data compression;decoding;integrated circuit testing;logic testing;variable length codes","area overhead;benchmark circuits;compression ratio;data compression/decompression;mapping algorithm;parallel on-chip decoder;reordering algorithm;system-on-a-chip test data;test application time;variable-length input Huffman coding","","50","1","16","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Automated optimal design of switched-capacitor filters","Hassibi, A.; Hershenson, M.","Barcelona Design Inc., Sunnyvale, CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","1111","","We present a method for automated design of CMOS switched-capacitor filters (SCFs) from user defined top-level specifications to component sizes and physical layout. In other words, we present a complete top-down design flow for SCFs. The method is based on careful analysis and modeling of the SCF using analog circuit design and system engineering expertise, formulating design constraints in a special convex form, and numerical optimization (geometric programming)","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998499","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998499","","Automatic testing;Design automation;Europe;Filters","CMOS integrated circuits;analogue integrated circuits;circuit CAD;circuit optimisation;network topology;switched capacitor filters","CMOS filters;analog circuit design;automated design;convex form;geometric programming;numerical optimization;switched-capacitor filters","","3","","","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
"Reducing test application time through test data mutation encoding","Reda, S.; Orailoglu, A.","Dept. of Comput. Sci. & Eng., California Univ., San Diego, La Jolla, CA, USA","Design, Automation and Test in Europe Conference and Exhibition, 2002. Proceedings","20020807","2002","","","387","393","In this paper we propose a new compression algorithm geared to reduce the time needed to test scan-based designs. Our scheme compresses the test vector set by encoding the bits that need to be flipped in the current test data slice in order to obtain the mutated subsequent test data slice. Exploitation of the overlap in the encoded data by effective traversal search algorithms results in drastic overall compression. The technique we propose can be utilized as not only a stand-alone technique but also can be utilized on test data already compressed, extracting even further compression. The performance of the algorithm is mathematically analyzed and its merits experimentally confirmed on the larger examples of the ISCAS '89 benchmark circuits","1530-1591","0-7695-1471-5","","10.1109/DATE.2002.998303","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998303","","Algorithm design and analysis;Benchmark testing;Circuit testing;Costs;Encoding;Fabrication;Genetic mutations;Manufacturing;Shift registers;System testing","VLSI;application specific integrated circuits;automatic testing;boundary scan testing;data compression;integrated circuit testing;logic testing;sequential circuits","ISCAS'89 benchmark circuits;compression algorithm;current test data slice;overall compression;scan-based designs;stand-alone technique;test application time;test data mutation encoding;test vector set;traversal search algorithms","","35","","10","","","2002","04 Mar 2002-08 Mar 2002","IEEE","IEEE Conference Publications"
